|redshift|flux_20_cm|log_bh_mass|log_lbol|log_lbol_ledd|rf_flux_6_cm|radio_class|
|  0.9053|          |      8.640|  46.059|       -0.695|            |ndRI       |
|  0.9071|   61.5638|      8.692|  46.520|       -0.287|     46.5669|RL         |
|  0.9077|          |      9.055|  45.706|       -1.463|            |ndRI       |
|  0.9082|    1.3500|      8.631|  45.080|       -1.664|      1.0214|RL         |
|  0.9095|          |      8.536|  46.399|       -0.251|            |NC         |
|  0.9177|  242.0931|      8.671|  46.518|       -0.267|    183.6263|RL         |
|  0.9195|          |      7.553|  44.505|       -1.162|            |NC         |
|  0.9249|   23.5130|      8.697|  46.111|       -0.700|     17.8681|RL         |
|  0.9268|          |      7.848|  44.700|       -1.261|            |NC         |
|  0.9368|          |      8.497|  46.370|       -0.240|            |ndRI       |
|  0.9369|          |      8.702|  45.893|       -0.923|            |ndRI       |
|  0.9374|          |      9.111|  46.022|       -1.204|            |ndRI       |
|  0.9375|          |      9.030|  46.487|       -0.656|            |ndRI       |
|  0.9427|          |      8.734|  46.159|       -0.690|            |ndRI       |
|  0.9493|          |      8.667|  45.984|       -0.797|            |ndRI       |
|  0.9530|          |      8.616|  46.326|       -0.404|            |ndRI       |
|  0.9545|          |      8.746|  45.901|       -0.959|            |ndRI       |
|  0.9575|          |      8.890|  45.451|       -1.553|            |NC         |
|  0.9608|          |      8.957|  46.209|       -0.862|            |ndRI       |
|  0.9630|          |      9.093|  46.381|       -0.826|            |ndRI       |
|  0.9643|          |      8.014|  44.548|       -1.580|            |ndRI       |
|  0.9652|          |      8.913|  46.028|       -0.999|            |ndRI       |
|  0.9656|  800.6305|      8.469|  48.053|        1.470|    614.8016|RL         |
|  0.9667|          |      9.083|  46.895|       -0.302|            |ndRI       |
|  0.9677|          |      8.743|  45.816|       -1.042|            |ndRI       |
|  0.9680|          |      8.274|  45.283|       -1.106|            |NC         |
|  0.9691|          |      8.443|  44.637|       -1.920|            |ndRI       |
|  0.9710|          |      8.872|  46.038|       -0.949|            |ndRI       |
|  0.9722|          |      8.894|  45.126|       -1.882|            |ndRI       |
|  0.9730|    3.7400|      8.425|  46.271|       -0.268|      2.8774|RL         |
|  0.9768|          |      8.658|  45.978|       -0.794|            |NC         |
